2022-05-24T18:40:50.472486307Z .:5353
2022-05-24T18:40:50.472619666Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:50.472654510Z CoreDNS-1.8.7
2022-05-24T18:40:50.472654510Z linux/amd64, go1.17.5, 
2022-05-24T20:56:50.217204507Z [INFO] 10.131.2.2:47959 - 5400 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000364238s
2022-05-24T20:58:09.908779898Z [INFO] 10.128.4.12:33742 - 60202 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000288495s
2022-05-24T20:58:56.091303773Z [INFO] 10.128.0.75:35300 - 16846 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000328917s
2022-05-24T21:01:17.046590632Z [INFO] 10.128.4.12:46548 - 17820 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000328878s
2022-05-24T21:01:20.018356178Z [INFO] 10.128.4.12:49695 - 39849 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000349007s
2022-05-24T21:02:24.173538029Z [INFO] 10.128.0.75:53968 - 30523 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000608465s
2022-05-24T21:03:53.226459902Z [INFO] 10.131.0.6:58970 - 6648 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000364469s
2022-05-24T21:04:31.842921051Z [INFO] 10.129.2.6:57915 - 31337 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000583964s
2022-05-24T21:04:50.597214436Z [INFO] 10.131.2.2:56481 - 60577 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.003703497s
2022-05-24T21:04:58.744446839Z [INFO] 10.128.0.75:53431 - 122 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000348579s
2022-05-24T21:06:31.964777409Z [INFO] 10.129.2.6:57891 - 61804 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000627381s
2022-05-24T21:07:32.019566345Z [INFO] 10.129.2.6:41222 - 6245 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000582079s
2022-05-24T21:07:55.952381986Z [INFO] 10.128.0.28:58070 - 55371 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000334941s
2022-05-24T21:09:55.799503230Z [INFO] 10.128.0.75:47154 - 27815 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000488985s
2022-05-24T21:11:35.861812974Z [INFO] 10.128.0.24:40856 - 29757 "A IN inputs2.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000249722s
