2022-05-24T18:31:38.348306441Z [WARNING] plugin/kubernetes: starting server with unsynced Kubernetes API
2022-05-24T18:31:38.348726532Z .:5353
2022-05-24T18:31:38.348919493Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:31:38.348919493Z CoreDNS-1.8.7
2022-05-24T18:31:38.348919493Z linux/amd64, go1.17.5, 
2022-05-24T19:28:42.684401410Z [INFO] 10.128.4.12:47483 - 61794 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000326843s
2022-05-24T19:28:43.175681095Z [INFO] 10.128.4.12:37181 - 34051 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000342615s
2022-05-24T19:28:43.569250869Z [INFO] 10.128.4.12:37144 - 13403 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000303762s
2022-05-24T19:29:44.054543664Z [INFO] 10.131.2.2:56027 - 4749 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000370071s
2022-05-24T19:31:30.965705046Z [INFO] 10.128.4.12:58320 - 36281 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000388317s
2022-05-24T19:31:44.183969743Z [INFO] 10.131.2.2:49009 - 12854 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000304508s
2022-05-24T19:32:27.588663122Z [INFO] 10.129.2.6:46946 - 10127 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000664147s
2022-05-24T19:32:44.238364832Z [INFO] 10.131.2.2:37979 - 44876 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000357229s
2022-05-24T19:33:36.757413803Z [INFO] 10.128.4.12:35352 - 28719 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000336961s
2022-05-24T19:33:36.766592695Z [INFO] 10.128.4.12:55324 - 58735 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000301277s
2022-05-24T19:34:36.630052033Z [INFO] 10.128.4.12:58083 - 57098 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000322854s
2022-05-24T19:34:49.531968581Z [INFO] 10.128.0.28:57248 - 32354 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000418953s
2022-05-24T19:34:52.546921309Z [INFO] 10.129.0.4:41561 - 40282 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00033105s
2022-05-24T19:37:13.178571913Z [INFO] 10.128.2.5:46043 - 44269 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000423235s
2022-05-24T19:39:21.220422642Z [INFO] 10.128.4.12:36545 - 38091 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000354018s
2022-05-24T19:39:21.232086628Z [INFO] 10.128.4.12:54309 - 15171 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000319853s
2022-05-24T19:39:44.674478447Z [INFO] 10.131.2.2:34896 - 33893 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000435433s
2022-05-24T19:43:18.933795479Z [INFO] 10.128.4.5:36208 - 43889 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000391967s
2022-05-24T19:45:45.005578578Z [INFO] 10.131.2.2:50516 - 10501 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000425945s
2022-05-24T19:46:06.193493972Z [INFO] 10.128.0.75:53586 - 59609 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000353838s
2022-05-24T19:46:09.767368923Z [INFO] 10.128.0.75:47953 - 25022 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000313951s
2022-05-24T19:49:56.164209847Z [INFO] 10.130.2.2:56304 - 47490 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000342441s
2022-05-24T19:50:52.318773471Z [INFO] 10.128.0.75:60644 - 27226 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000296253s
2022-05-24T19:53:24.562269511Z [INFO] 10.128.4.12:42199 - 46906 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000369457s
2022-05-24T19:53:50.813286675Z [INFO] 10.128.0.28:58838 - 65267 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000399302s
2022-05-24T19:53:53.790147713Z [INFO] 10.129.0.4:48153 - 42445 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00044995s
2022-05-24T19:54:18.707893181Z [INFO] 10.130.0.10:47760 - 64686 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00037221s
2022-05-24T19:54:56.470676197Z [INFO] 10.130.2.2:56179 - 22279 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000381421s
2022-05-24T19:56:30.464000455Z [INFO] 10.128.0.75:50242 - 24630 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000270275s
2022-05-24T19:56:51.010164914Z [INFO] 10.128.0.28:60032 - 59682 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000295733s
2022-05-24T19:58:18.933007670Z [INFO] 10.130.0.10:54080 - 8038 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000350353s
2022-05-24T20:00:28.892895365Z [INFO] 10.129.2.6:53294 - 52001 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000458344s
2022-05-24T20:01:28.901194911Z [INFO] 10.129.2.6:52334 - 46199 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000690803s
