2022-05-24T18:40:08.722914421Z .:5353
2022-05-24T18:40:08.723012513Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:08.723022065Z CoreDNS-1.8.7
2022-05-24T18:40:08.723022065Z linux/amd64, go1.17.5, 
2022-05-24T20:54:17.012686748Z [INFO] 10.128.2.5:60187 - 16713 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000387122s
2022-05-24T20:55:22.486863961Z [INFO] 10.128.4.5:48069 - 25728 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00035887s
2022-05-24T20:55:22.777895768Z [INFO] 10.130.0.10:50136 - 25685 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000394572s
2022-05-24T20:56:31.587095981Z [INFO] 10.128.4.12:38226 - 12650 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.001808706s
2022-05-24T21:00:24.599003767Z [INFO] 10.128.4.12:42814 - 29441 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000317621s
2022-05-24T21:00:24.850815194Z [INFO] 10.128.4.12:44761 - 33027 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000327544s
2022-05-24T21:00:30.974853913Z [INFO] 10.128.4.12:35364 - 58417 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000322499s
2022-05-24T21:00:40.131816863Z [INFO] 10.128.0.75:60637 - 20835 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000333268s
2022-05-24T21:02:31.737197507Z [INFO] 10.129.2.6:52778 - 24492 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000288904s
2022-05-24T21:02:50.527900841Z [INFO] 10.131.2.2:39727 - 5716 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00030978s
2022-05-24T21:02:53.163257127Z [INFO] 10.131.0.6:54702 - 39148 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000363357s
2022-05-24T21:10:38.391559444Z [INFO] 10.128.0.75:57748 - 3267 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000398119s
2022-05-24T21:10:56.156120413Z [INFO] 10.128.0.28:44755 - 64739 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.002971812s
2022-05-24T21:10:57.353601401Z [INFO] 10.131.2.5:56975 - 472 "A IN inputs15.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.000235229s
2022-05-24T21:10:57.371768174Z [INFO] 10.131.2.5:34665 - 54110 "A IN inputs3.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000219735s
