2022-05-24T18:44:21.636900566Z .:5353
2022-05-24T18:44:21.637001734Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:44:21.637010502Z CoreDNS-1.8.7
2022-05-24T18:44:21.637010502Z linux/amd64, go1.17.5, 
2022-05-24T21:12:32.056705869Z [INFO] 10.128.4.4:40277 - 34385 "A IN inputs5.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.001881998s
2022-05-24T21:14:32.402976567Z [INFO] 10.129.2.6:38781 - 19878 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000309367s
2022-05-24T21:17:34.565913102Z [INFO] 10.128.0.75:50017 - 2110 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000303579s
2022-05-24T21:18:01.595020057Z [INFO] 10.130.2.2:35143 - 18078 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.001692236s
2022-05-24T21:19:32.467923161Z [INFO] 10.128.4.12:40727 - 41334 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.006009646s
2022-05-24T21:19:32.759843129Z [INFO] 10.128.4.12:37169 - 27650 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00076976s
2022-05-24T21:19:40.467976000Z [INFO] 10.128.4.12:38981 - 35622 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000301807s
2022-05-24T21:22:16.063640914Z [INFO] 10.128.4.12:38916 - 20882 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000416559s
2022-05-24T21:24:54.659479618Z [INFO] 10.131.2.5:52727 - 3043 "A IN inputs5.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000255302s
2022-05-24T21:25:07.575384602Z [INFO] 10.128.0.1:55359 - 44751 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000594197s
2022-05-24T21:25:14.930696903Z [INFO] 10.128.4.12:56279 - 17367 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000335948s
2022-05-24T21:26:32.088231093Z [INFO] 10.128.4.12:52281 - 64283 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000551962s
2022-05-24T21:26:43.307609340Z [INFO] 10.128.4.12:58123 - 8539 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00029635s
2022-05-24T21:26:52.022682064Z [INFO] 10.131.2.2:32784 - 48030 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000557713s
2022-05-24T21:27:52.071621268Z [INFO] 10.131.2.2:46296 - 53490 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000389694s
2022-05-24T21:28:54.460504507Z [INFO] 10.131.0.6:36071 - 58302 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000329925s
2022-05-24T21:29:16.854849934Z [INFO] 10.128.0.75:53714 - 16147 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000346461s
2022-05-24T21:30:33.308968823Z [INFO] 10.129.2.6:35384 - 1277 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000582827s
2022-05-24T21:31:54.593811905Z [INFO] 10.131.0.6:59600 - 6473 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000336503s
2022-05-24T21:33:10.951371602Z [INFO] 10.128.0.75:48583 - 23397 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000535698s
2022-05-24T21:35:18.795234485Z [INFO] 10.128.2.5:45177 - 41763 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000308753s
