2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T19:46:09.767825070Z [INFO] 10.128.0.75:47072 - 57127 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000346996s
2022-05-24T19:51:04.977621109Z [INFO] 10.128.0.75:40784 - 43187 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.004806085s
2022-05-24T19:51:05.190310713Z [INFO] 10.128.0.75:41767 - 49197 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000287298s
2022-05-24T19:51:05.551816353Z [INFO] 10.128.0.75:48397 - 4867 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000332081s
2022-05-24T19:52:28.632081614Z [INFO] 10.129.2.6:35349 - 39950 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000291801s
2022-05-24T19:54:50.879300039Z [INFO] 10.128.0.28:45039 - 18576 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000341967s
2022-05-24T19:56:45.682047452Z [INFO] 10.131.2.2:59607 - 51100 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000325863s
2022-05-24T20:02:46.079759545Z [INFO] 10.131.2.2:41576 - 23561 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000351538s
2022-05-24T20:02:56.998286945Z [INFO] 10.130.2.2:58944 - 37062 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00034261s
2022-05-24T20:05:51.551900442Z [INFO] 10.128.0.75:54253 - 29518 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000346607s
